DOY,POND,DENS,NUTR,FISH,PULSETIME,CHL,PHYCO,DOSAT,LOG
115,A,no,control,pre,pre,22.4,0.5,127.9817489,post
115,B,hi,control,pre,pre,19.7,0.49,129.3481527,post
115,C,lo,control,pre,pre,16.3,0.52,124.3360394,post
115,D,no,pulse,pre,pre,18.1,0.57,124.3789667,post
115,E,lo,pulse,pre,pre,31.99,0.51,129.9764999,post
115,F,hi,pulse,pre,pre,24.9,0.37,126.5025759,post
116,A,no,control,pre,pre,NA,NA,121.0477803,post
116,B,hi,control,pre,pre,NA,NA,120.8263887,post
116,C,lo,control,pre,pre,NA,NA,117.3780221,post
116,D,no,pulse,pre,pre,NA,NA,118.8216082,post
116,E,lo,pulse,pre,pre,NA,NA,116.3533652,post
116,F,hi,pulse,pre,pre,NA,NA,112.3093465,post
117,A,no,control,pre,pre,NA,NA,106.9833907,post
117,B,hi,control,pre,pre,NA,NA,105.895431,post
117,C,lo,control,pre,pre,NA,NA,105.1199678,post
117,D,no,pulse,pre,pre,NA,NA,105.0627695,post
117,E,lo,pulse,pre,pre,NA,NA,101.528974,post
117,F,hi,pulse,pre,pre,NA,NA,96.68742331,post
118,A,no,control,pre,pre,15.4,0.41,100.5624642,post
118,B,hi,control,pre,pre,15.5,0.38,100.1677908,post
118,C,lo,control,pre,pre,14.2,0.4,100.9985516,post
118,D,no,pulse,pre,pre,16.15,0.41,101.4158933,post
118,E,lo,pulse,pre,pre,12.16,0.24,95.83201806,post
118,F,hi,pulse,pre,pre,8.02,0.19,89.41732779,post
119,A,no,control,pre,pre,NA,NA,105.1495016,post
119,B,hi,control,pre,pre,NA,NA,105.3792473,post
119,C,lo,control,pre,pre,NA,NA,105.0348457,post
119,D,no,pulse,pre,pre,NA,NA,105.8763078,post
119,E,lo,pulse,pre,pre,NA,NA,101.5113514,post
119,F,hi,pulse,pre,pre,NA,NA,93.72160806,post
120,A,no,control,pre,pre,NA,NA,104.128408,post
120,B,hi,control,pre,pre,NA,NA,104.8028886,post
120,C,lo,control,pre,pre,NA,NA,104.6681629,post
120,D,no,pulse,pre,pre,NA,NA,106.3181844,post
120,E,lo,pulse,pre,pre,NA,NA,102.1634343,post
120,F,hi,pulse,pre,pre,NA,NA,94.22659369,post
121,A,no,control,pre,pre,26.8,0.36,104.0495118,post
121,B,hi,control,pre,pre,23.9,0.39,105.4809821,post
121,C,lo,control,pre,pre,20.3,0.29,105.2277537,post
121,D,no,pulse,pre,pre,25.1,0.37,105.3129542,post
121,E,lo,pulse,pre,pre,17.6,0.27,99.8516819,post
121,F,hi,pulse,pre,pre,6.4,0.19,90.98590779,post
122,A,no,control,pre,pre,NA,NA,109.0101621,post
122,B,hi,control,pre,pre,NA,NA,110.5796239,post
122,C,lo,control,pre,pre,NA,NA,110.044561,post
122,D,no,pulse,pre,pre,NA,NA,110.4460928,post
122,E,lo,pulse,pre,pre,NA,NA,102.1047691,post
122,F,hi,pulse,pre,pre,NA,NA,94.59206667,post
123,A,no,control,pre,pre,NA,NA,112.4525593,post
123,B,hi,control,pre,pre,NA,NA,115.9018229,post
123,C,lo,control,pre,pre,NA,NA,114.033621,post
123,D,no,pulse,pre,pre,NA,NA,116.1510606,post
123,E,lo,pulse,pre,pre,NA,NA,105.7856305,post
123,F,hi,pulse,pre,pre,NA,NA,99.66395727,post
124,A,no,control,pre,pre,7.4,0.17,118.0448017,post
124,B,hi,control,pre,pre,7.22,0.19,119.843825,post
124,C,lo,control,pre,pre,3.81,0.15,119.1395357,post
124,D,no,pulse,pre,pre,8.51,0.17,118.2192294,post
124,E,lo,pulse,pre,pre,2.81,0.11,108.1164675,post
124,F,hi,pulse,pre,pre,1.3,0.12,105.422017,post
125,A,no,control,pre,pre,6.4,0.13,113.9160282,post
125,B,hi,control,pre,pre,5.2,0.1,117.9853382,post
125,C,lo,control,pre,pre,3.2,0.1,116.1049005,post
125,D,no,pulse,pre,pre,5.15,0.12,118.8127354,post
125,E,lo,pulse,pre,pre,1.3,0.07,107.5568856,post
125,F,hi,pulse,pre,pre,1.15,0.12,108.6296589,post
126,A,no,control,pre,pre,6.7,0.15,108.4816635,post
126,B,hi,control,pre,pre,2.67,0.07,110.3983622,post
126,C,lo,control,pre,pre,4.98,0.13,111.9754912,post
126,D,no,pulse,pre,pre,6.12,0.18,116.6977429,post
126,E,lo,pulse,pre,pre,1.33,0.12,105.5103449,post
126,F,hi,pulse,pre,pre,1.95,0.17,108.229263,post
127,A,no,control,pre,pre,3.9,0.11,107.0406234,post
127,B,hi,control,pre,pre,1.8,0.1,105.0195457,post
127,C,lo,control,pre,pre,1.9,0.09,110.5151691,post
127,D,no,pulse,pre,pre,5.4,0.12,115.9376614,post
127,E,lo,pulse,pre,pre,1.1,0.08,105.5185584,post
127,F,hi,pulse,pre,pre,2.2,0.1,110.2998908,post
128,A,no,control,post,pre,5.2,0.17,97.26882333,post
128,B,hi,control,post,pre,3.14,0.17,95.9448961,post
128,C,lo,control,post,pre,2.71,0.17,101.4878433,post
128,D,no,pulse,post,pre,4.49,0.15,104.7435783,post
128,E,lo,pulse,post,pre,1.5,0.12,97.00251756,post
128,F,hi,pulse,post,pre,2.12,0.14,100.1844251,post
129,A,no,control,post,pre,3.6,0.21,86.81287258,post
129,B,hi,control,post,pre,2.8,0.21,89.8868934,post
129,C,lo,control,post,pre,2.2,0.16,93.46527252,post
129,D,no,pulse,post,pre,2.6,0.14,93.50694533,post
129,E,lo,pulse,post,pre,2.2,0.26,90.23773252,post
129,F,hi,pulse,post,pre,3.2,0.28,89.86848442,post
130,A,no,control,post,pre,2.3,0.16,90.41922796,post
130,B,hi,control,post,pre,4.6,0.32,98.32840266,post
130,C,lo,control,post,pre,0.5,0.08,99.80284268,post
130,D,no,pulse,post,pre,0.9,0.1,99.74275238,post
130,E,lo,pulse,post,pre,4.2,0.35,101.0260525,post
130,F,hi,pulse,post,pre,2.5,0.23,96.00064717,post
131,A,no,control,post,pre,4.09,0.15,98.01246435,post
131,B,hi,control,post,pre,3.51,0.14,104.3009184,post
131,C,lo,control,post,pre,2.72,0.14,103.9023432,post
131,D,no,pulse,post,pre,2.71,0.16,108.346046,post
131,E,lo,pulse,post,pre,1.76,0.17,107.3947887,post
131,F,hi,pulse,post,pre,1.51,0.61,99.1502326,post
132,A,no,control,post,pre,2.75,0.15,100.1182484,post
132,B,hi,control,post,pre,3.14,0.16,105.6252898,post
132,C,lo,control,post,pre,2.62,0.13,111.5139582,post
132,D,no,pulse,post,pre,3.85,0.22,113.9894852,post
132,E,lo,pulse,post,pre,1.97,0.19,113.7887593,post
132,F,hi,pulse,post,pre,2.08,0.18,103.5986168,post
133,A,no,control,post,pre,1.4,0.16,106.0272866,post
133,B,hi,control,post,pre,1.8,0.17,111.275435,post
133,C,lo,control,post,pre,1,0.12,119.157338,post
133,D,no,pulse,post,pre,1.3,0.12,122.0432016,post
133,E,lo,pulse,post,pre,1.5,0.17,123.7512275,post
133,F,hi,pulse,post,pre,1.6,0.17,114.3958545,post
134,A,no,control,post,pre,2.23,0.1,108.4961157,post
134,B,hi,control,post,pre,2.17,0.1,111.7974504,post
134,C,lo,control,post,pre,1.83,0.09,120.3802398,post
134,D,no,pulse,post,pre,1.25,0.07,126.2292998,post
134,E,lo,pulse,post,pre,1.41,0.13,125.366497,post
134,F,hi,pulse,post,pre,3.58,0.19,119.7974975,post
135,A,no,control,post,pre,1.34,0.09,111.6276981,post
135,B,hi,control,post,pre,2,0.12,117.2478316,post
135,C,lo,control,post,pre,0.98,0.11,126.13435,post
135,D,no,pulse,post,pre,0.98,0.12,133.0616935,post
135,E,lo,pulse,post,pre,1.47,0.15,134.5571453,post
135,F,hi,pulse,post,pre,1.57,0.13,130.7500022,post
136,A,no,control,post,pre,1.59,0.08,120.1365411,post
136,B,hi,control,post,pre,2.03,0.07,122.3964587,post
136,C,lo,control,post,pre,1.14,0.06,132.6417111,post
136,D,no,pulse,post,pre,0.62,0.02,143.4254252,post
136,E,lo,pulse,post,pre,1.31,0.07,143.2109073,post
136,F,hi,pulse,post,pre,2.01,0.08,142.7830278,post
137,A,no,control,post,pre,2.1,0.09,107.0936987,post
137,B,hi,control,post,pre,4.18,0.16,114.4890697,post
137,C,lo,control,post,pre,1.49,0.06,117.2313435,post
137,D,no,pulse,post,pre,0.83,0.03,129.5898508,post
137,E,lo,pulse,post,pre,0.56,0.03,130.6269103,post
137,F,hi,pulse,post,pre,4.12,0.12,129.6618836,post
138,A,no,control,post,pre,2,0.07,105.722209,post
138,B,hi,control,post,pre,4.75,0.14,112.9598091,post
138,C,lo,control,post,pre,1.25,0.05,118.7928868,post
138,D,no,pulse,post,pre,0.98,0.04,128.3025404,post
138,E,lo,pulse,post,pre,0.96,0.04,132.7429902,post
138,F,hi,pulse,post,pre,4.55,0.19,132.8664869,post
139,A,no,control,post,pre,1.73,0.09,98.46331375,post
139,B,hi,control,post,pre,4.88,0.18,103.6404001,post
139,C,lo,control,post,pre,2.46,0.09,113.9509758,post
139,D,no,pulse,post,pre,1.45,0.06,119.7404701,post
139,E,lo,pulse,post,pre,0.89,0.03,123.1320224,post
139,F,hi,pulse,post,pre,4.07,0.16,114.9389904,post
140,A,no,control,post,pre,1.81,0.1,98.49249573,post
140,B,hi,control,post,pre,4.6,0.2,106.2369844,post
140,C,lo,control,post,pre,1.91,0.1,117.7297903,post
140,D,no,pulse,post,pre,1.94,0.11,124.3082817,post
140,E,lo,pulse,post,pre,0.85,0.08,128.0451661,post
140,F,hi,pulse,post,pre,4.41,0.21,118.4048735,post
141,A,no,control,post,pre,1.8383561,0.105281967,93.48032146,post
141,B,hi,control,post,pre,4.3558049,0.160858947,102.2603935,post
141,C,lo,control,post,pre,2.5431754,0.11482974,117.1144327,post
141,D,no,pulse,post,pre,1.6933528,0.070727163,124.0325583,post
141,E,lo,pulse,post,pre,0.9573254,0.075375588,129.8382228,post
141,F,hi,pulse,post,pre,4.2852621,0.129598502,118.5921366,post
142,A,no,control,post,pre,1.37390744,0.099998698,96.82978706,post
142,B,hi,control,post,pre,3.2709048,0.140965226,102.9634369,post
142,C,lo,control,post,pre,2.0308267,0.108638605,112.6450323,post
142,D,no,pulse,post,pre,1.89100051,0.105787834,120.2255769,post
142,E,lo,pulse,post,pre,0.88156788,0.102936059,124.234908,post
142,F,hi,pulse,post,pre,5.4479433,0.167510949,113.8528241,post
143,A,no,control,post,pre,1.18534368,0.050629834,112.4949794,post
143,B,hi,control,post,pre,2.3243158,0.08911022,119.7131226,post
143,C,lo,control,post,pre,0.9761495,0.061026409,128.8043858,post
143,D,no,pulse,post,pre,1.216266,0.057464452,138.0392375,post
143,E,lo,pulse,post,pre,0.69649712,0.056897914,149.4599545,post
143,F,hi,pulse,post,pre,1.77025486,0.083408678,134.6090731,post
144,A,no,control,post,pre,1.69971043,0.092224873,113.2618796,post
